,date,prevision,reel,effectif,nos,ind,greves_manquantes,menu,ferie,veille_ferie,retour_ferie,vacances,retour_vacances,veille_vacances,inc_grippe,inc_gastro,inc_varicelle,fete_musulmane,ramadan,fete_chretienne,fete_juive,jour,semaine,mois,gaspillage_volume,gaspillage_pourcentage,greves
0,2011-01-03,12289,11129,17373,1.0,0,0,"['Pamplemousse', 'Hachis Parmentier', 'Salade verte', 'Flan caramel']",0,0,0,0,1,0,10505,6554,551,0,0,0,0,Lundi,1,Janvier,1160,9.43933599153715,1.0
1,2011-01-04,12558,11808,17373,0.0,0,0,"['Crêpe au fromage', 'emincé de volaille à la forestière', 'haricots beurre / haricots plats', 'St paulin', 'ananas']",0,0,0,0,0,0,10505,6554,551,0,0,0,0,Mardi,1,Janvier,750,5.97228858098423,0.0
2,2011-01-06,12753,11741,17373,0.0,0,0,"['thon', 'Mâche au thon', 'Croziflette', 'des de canard', 'des de volaille', 'Yaourt brasse bio']",0,0,0,0,0,0,10505,6554,551,0,0,1,0,Jeudi,1,Janvier,1012,7.93538775190151,0.0
3,2011-01-07,12812,12322,17373,0.0,0,0,"['Choux blancs mimolette', 'milanette en des', 'filet surgele printaniere', 'carottes persillées', 'Galette des rois', 'Lait fermier']",0,0,0,0,0,0,10505,6554,551,0,0,1,0,Vendredi,1,Janvier,490,3.82453949422417,0.0
4,2011-01-10,12309,11302,17373,0.0,0,0,"['Endives / demi-\x9cuf', 'paella de la mer', 'Fromage blanc', 'et abricots secs']",0,0,0,0,0,0,7200,6453,493,0,0,0,0,Lundi,2,Janvier,1007,8.18100576813714,0.0
5,2011-01-11,12576,11909,17373,0.0,0,0,"['Taboulé', 'sauté de b\x9cuf Bourguignon', 'haricots verts', 'Tomme bio', 'Clémentines']",0,0,0,0,0,0,7200,6453,493,0,0,0,0,Mardi,2,Janvier,667,5.30375318066158,0.0
6,2011-01-13,12628,12007,17373,0.0,0,0,"['carottes râpées bio', 'rôti de dinde', 'jus de veau', 'purée de p  de terre', 'Yaourt Fruix']",0,0,0,0,0,0,7200,6453,493,0,0,0,0,Jeudi,2,Janvier,621,4.91764333227748,0.0
7,2011-01-14,12865,11991,17373,0.0,0,0,"['Pizza au fromage', 'citron', 'poisson pané', 'épinards à la crème', 'Edam', 'Pomme']",0,0,0,0,0,0,7200,6453,493,0,0,0,0,Vendredi,2,Janvier,874,6.79362611737272,0.0
8,2011-01-17,12291,11508,17373,0.0,0,0,"['Mâche au surimi', 'pâte', 'sauce bolognaise', 'gruyère râpée', 'Crème dessert vanille']",0,0,0,0,0,0,2880,5745,702,0,0,0,0,Lundi,3,Janvier,783,6.37051501098365,0.0
9,2011-01-18,12638,12022,17373,0.0,0,0,"['Choux rouges', 'Sauté de porc Forestière', 'sauté de dinde  forestière', 'batonnière de légumes', 'Beignet chocolat', 'Lait fermier']",0,0,0,0,0,0,2880,5745,702,0,0,1,0,Mardi,3,Janvier,616,4.87418895394841,0.0
10,2011-01-20,12642,11947,17373,0.0,0,0,"['Potage tomate / vermicelle', 'cordon bleu de volaille', ""petits pois  à l'anglaise"", 'Camembert', 'Banane']",0,0,0,0,0,0,2880,5745,702,0,0,0,0,Jeudi,3,Janvier,695,5.49754785635184,0.0
11,2011-01-21,12746,12135,17373,0.0,0,0,"['Concombres vgte', 'Poisson', 'beurre blanc', 'riz pilaf', 'Gervais aux fruits']",0,0,0,0,0,0,2880,5745,702,0,0,0,0,Vendredi,3,Janvier,611,4.79366075631571,0.0
12,2011-01-24,12271,11582,17373,0.0,0,0,"['Potage carottes', 'Poisson meunière', 'Courgettes à la tomate', 'Gouda', 'Ananas']",0,0,0,0,0,0,9182,5718,415,0,0,0,0,Lundi,4,Janvier,689,5.61486431423682,0.0
13,2011-01-25,12585,11994,17373,0.0,0,0,"['pamplemousse', 'sauté de veau Marengo', 'Frites', 'Yaourt aromatisé']",0,0,0,0,0,0,9182,5718,415,0,0,0,0,Mardi,4,Janvier,591,4.69606674612634,0.0
14,2011-01-27,12473,11863,17373,0.0,0,0,"['salade de pâtes aux tomates confites', 'cuisse de poulet rôti au jus', 'poulet fermier', 'Choux fleurs béchamel agro', 'Tomme blanche', 'Pomme']",0,0,0,0,0,0,9182,5718,415,0,0,0,0,Jeudi,4,Janvier,610,4.89056361741361,0.0
15,2011-01-28,12767,12029,17373,0.0,0,0,"['salade verte au thon', 'Omelette', 'Riz à la forestière', 'Crème dessert chocolat']",0,0,0,0,0,0,9182,5718,415,0,0,0,0,Vendredi,4,Janvier,738,5.78052792355291,0.0
16,2011-01-31,12185,11318,17373,0.0,0,0,"['betteraves cubes', 'lasagnes bolo', 'salade verte', 'Flan caramel']",0,0,0,0,0,0,7451,5713,317,0,0,0,0,Lundi,5,Janvier,867,7.1153057037341,0.0
17,2011-02-01,12605,11727,17373,0.0,0,0,"['Potage légumes', 'Jambon fumé', 'jambon de dinde agro', 'carottes crème', 'Champanet', 'Clémentines']",0,0,0,0,0,0,7451,5713,317,0,0,0,0,Mardi,5,Fevrier,878,6.96548988496628,0.0
18,2011-02-03,12687,11779,17373,1.0,0,0,"['nouvel an chinois', 'salade', ""nem's de volaille"", 'Emincé de dinde au caramel', 'poelée asiatique', 'salade de fruit exotique', 'et litchis']",0,0,0,0,0,0,7451,5713,317,0,0,0,0,Jeudi,5,Fevrier,908,7.15693229289824,1.0
19,2011-02-04,12744,11966,17373,1.0,0,0,"['Choux à la mimolette', 'calamar armoricaine', 'Pommes de terre sautées agro', 'Kiwi']",0,0,0,0,0,0,7451,5713,317,0,0,0,0,Vendredi,5,Fevrier,778,6.10483364720653,1.0
20,2011-02-07,12268,11447,17373,0.0,0,0,"['Tarte au fromage', 'poulet confit', 'Haricots verts', 'Pomme']",0,0,0,0,0,0,3661,5813,350,0,0,0,0,Lundi,6,Fevrier,821,6.69220736876427,0.0
21,2011-02-08,12515,11945,17373,0.0,0,0,"['Concombres vgte', 'Toulouse grillée', 'saucisse de volaille', 'haricots blanc à la tomate', 'blanc à la neige', 'crème anglaise']",0,0,0,0,0,0,3661,5813,350,0,0,0,0,Mardi,6,Fevrier,570,4.55453455852976,0.0
22,2011-02-10,9750,6991,17373,4.0,0,0,"['Carottes râpées', 'C\x9cur de boeuf à la dijonnaise', 'Pomme noisettes', 'Suisses aro']",0,0,0,0,0,0,3661,5813,350,0,0,0,0,Jeudi,6,Fevrier,2759,28.2974358974359,4.0
23,2011-02-11,12842,12225,17373,4.0,0,0,"['salade de pomme de terre', 'tomate / concombre', 'poisson meunière', 'Brocolis beurre Provençal', 'St Bricet', 'Mirabelles au sirop']",0,0,0,0,0,0,3661,5813,350,0,0,0,0,Vendredi,6,Fevrier,617,4.80454757825884,4.0
24,2011-02-14,12211,11617,17373,0.0,0,0,"['Salade coleslaw', 'Blanquette de veau', 'pomme vapeur', 'Yaourt aromatisé']",0,0,0,0,0,0,1267,3449,845,0,0,0,0,Lundi,7,Fevrier,594,4.86446646466301,0.0
25,2011-02-15,12503,11979,17373,0.0,0,0,"['salade de mâche à la mimolette', 'rôti de porc et  dinde', 'Petits pois', 'crêpes', 'confiture']",0,0,0,0,0,0,1267,3449,845,1,0,0,0,Mardi,7,Fevrier,524,4.19099416140126,0.0
26,2011-02-17,12583,11963,17373,0.0,0,0,"['Potage tomate/vermicelle', 'cordon bleu de volaille', 'Haricots beurre et plats', 'st paulin', 'Banane']",0,0,0,0,0,0,1267,3449,845,0,0,0,0,Jeudi,7,Fevrier,620,4.92728284192959,0.0
27,2011-02-18,12783,12271,17373,0.0,0,0,"['Salade de lentilles', 'Lentilles, tomates, maïs', 'filet de lieu  au beurre blanc', 'Carottes', 'Crème de gruyère', 'Kiwi']",0,0,0,0,0,0,1267,3449,845,0,0,0,0,Vendredi,7,Fevrier,512,4.00531956504733,0.0
28,2011-02-21,11990,11500,17373,0.0,0,0,"['Endives aux pommes', 'sauté de boeuf AUX POIVRES', 'Pâtes', 'Liégeois']",0,0,0,0,0,0,373,3238,107,0,0,0,0,Lundi,8,Fevrier,490,4.08673894912427,0.0
29,2011-02-22,12604,12199,17373,0.0,0,0,"['taboulé', 'poisson pané/citron', 'choux fleurs agro', 'Tomme bio', 'Clémentines']",0,0,0,0,0,0,373,3238,107,0,0,0,0,Mardi,8,Fevrier,405,3.21326562995874,0.0
30,2011-02-24,10625,11916,17373,0.0,0,0,"['Rillettes de thon', 'tartiflette de canard', 'salade verte', 'Crème vanille']",0,0,0,0,0,0,373,3238,107,0,0,0,0,Jeudi,8,Fevrier,-1291,-12.1505882352941,0.0
31,2011-02-25,12592,12004,17373,0.0,0,0,"['REPAS POUR LA PLANETE', 'Crème de lentilles au cumin', 'Quinoa aux petits légumes', 'yaourt bio', 'abricots sec']",0,0,0,0,0,1,373,3238,107,0,0,0,0,Vendredi,8,Fevrier,588,4.66963151207116,0.0
32,2011-03-14,12226,11715,17373,0.0,0,0,"['galantine de volaille / cornichons', 'lasagne de b\x9cuf', 'Mâche', 'Crème anglaise']",0,0,0,0,1,0,479,3713,0,0,0,0,0,Lundi,11,Mars,511,4.17961720922624,0.0
33,2011-03-15,12497,12110,17373,0.0,0,0,"['Choux blancs bio à la mimolette', 'Jambon fumé', 'jambon de dinde', 'Marmelade de pommes', 'Gâteau au yaourt', 'Lait fermier']",0,0,0,0,0,0,479,3713,0,0,0,0,0,Mardi,11,Mars,387,3.09674321837241,0.0
34,2011-03-17,12521,12293,17373,0.0,0,0,"['salade de lentilles', 'maïs, tomate1/8', 'Emincé de dinde Niçois', 'Carottes', 'Tomme bio', 'Banane']",0,0,0,0,0,0,479,3713,0,0,0,0,0,Jeudi,11,Mars,228,1.82094081942337,0.0
35,2011-03-18,12857,12685,17373,0.0,0,0,"['radis / beurre', 'Parmentier de poisson maison', 'Salade verte', 'Mousse chocolat']",0,0,0,0,0,0,479,3713,0,0,0,0,0,Vendredi,11,Mars,172,1.33779264214047,0.0
