,date,Avril,Decembre,Fevrier,Janvier,Juillet,Juin,Mai,Mars,Novembre,Octobre,Septembre,reel,effectif,nos,ind,prevision,porc,viande,bio,poisson,noel,plat_prepare,laitage,an_chinois
0,2011-01-03,0,0,0,16047,0,0,0,0,0,0,0,10394,16047,16047,0,11319,0,16047,0,0,0,16047,0,0
1,2011-01-04,0,0,0,17373,0,0,0,0,0,0,0,11803,17373,0,0,12558,0,17373,0,0,0,17373,87,0
2,2011-01-06,0,0,0,17373,0,0,0,0,0,0,0,11777,17373,0,0,12753,17373,17373,87,0,0,0,0,0
3,2011-01-07,0,0,0,17373,0,0,0,0,0,0,0,12254,17373,0,0,12812,0,0,0,17373,0,0,87,0
4,2011-01-10,0,0,0,17373,0,0,0,0,0,0,0,11365,17373,0,0,12309,0,0,0,17373,0,17373,87,0
5,2011-01-11,0,0,0,17373,0,0,0,0,0,0,0,11941,17373,0,0,12576,0,17373,87,0,0,17373,0,0
6,2011-01-13,0,0,0,17373,0,0,0,0,0,0,0,11978,17373,0,0,12628,0,17373,87,0,0,17373,0,0
7,2011-01-14,0,0,0,17373,0,0,0,0,0,0,0,12054,17373,0,0,12865,0,0,0,17373,0,17373,87,0
8,2011-01-17,0,0,0,17373,0,0,0,0,0,0,0,11542,17373,0,0,12291,0,17373,0,0,0,17373,87,0
9,2011-01-18,0,0,0,17373,0,0,0,0,0,0,0,11961,17373,0,0,12638,17373,17373,0,0,0,0,87,0
10,2011-01-20,0,0,0,17373,0,0,0,0,0,0,0,11915,17373,0,0,12642,17373,17373,0,0,0,17373,87,0
11,2011-01-21,0,0,0,17373,0,0,0,0,0,0,0,12079,17373,0,0,12746,0,0,0,17373,0,0,87,0
12,2011-01-24,0,0,0,17373,0,0,0,0,0,0,0,11581,17373,0,0,12271,0,0,0,17373,0,17373,87,0
13,2011-01-25,0,0,0,17373,0,0,0,0,0,0,0,11972,17373,0,0,12585,0,17373,0,0,0,0,0,0
14,2011-01-27,0,0,0,17196,0,0,0,0,0,0,0,11750,17196,0,0,12473,0,17196,0,0,0,0,0,0
15,2011-01-28,0,0,0,17373,0,0,0,0,0,0,0,12057,17373,0,0,12767,0,0,0,17373,0,17373,0,0
16,2011-01-31,0,0,0,17373,0,0,0,0,0,0,0,11406,17373,0,0,12185,0,17373,0,0,0,17373,0,0
17,2011-02-01,0,0,17373,0,0,0,0,0,0,0,0,11754,17373,0,0,12605,17373,17373,0,0,0,17373,0,0
18,2011-02-03,0,0,17373,0,0,0,0,0,0,0,0,11788,17373,17373,0,12687,0,17373,0,0,0,0,0,87
19,2011-02-04,0,0,17373,0,0,0,0,0,0,0,0,11990,17373,17373,0,12744,0,0,0,17373,0,17373,87,0
20,2011-02-07,0,0,17373,0,0,0,0,0,0,0,0,11525,17373,0,0,12268,0,17373,0,0,0,0,87,0
21,2011-02-08,0,0,17373,0,0,0,0,0,0,0,0,11914,17373,0,0,12515,17373,17373,0,0,0,17373,87,0
22,2011-02-10,0,0,10636,0,0,0,0,0,0,0,0,7261,10636,42544,0,7971,0,10636,0,0,0,0,54,0
23,2011-02-11,0,0,17373,0,0,0,0,0,0,0,0,12186,17373,69492,0,12842,0,0,0,17373,0,0,0,0
24,2011-02-14,0,0,17373,0,0,0,0,0,0,0,0,11656,17373,0,0,12211,0,17373,0,0,0,0,0,0
25,2011-02-15,0,0,17373,0,0,0,0,0,0,0,0,11984,17373,0,0,12503,17373,17373,0,0,0,0,87,0
26,2011-02-17,0,0,17373,0,0,0,0,0,0,0,0,12016,17373,0,0,12583,17373,17373,0,0,0,17373,87,0
27,2011-02-18,0,0,17373,0,0,0,0,0,0,0,0,12238,17373,0,0,12783,0,0,0,17373,0,0,87,0
28,2011-02-21,0,0,17373,0,0,0,0,0,0,0,0,11548,17373,0,0,11990,0,17373,0,0,0,0,0,0
29,2011-02-22,0,0,17373,0,0,0,0,0,0,0,0,12189,17373,0,0,12604,0,0,87,17373,0,17373,0,0
30,2011-02-24,0,0,17373,0,0,0,0,0,0,0,0,11923,17373,0,0,10625,17373,17373,0,0,0,17373,0,0
31,2011-02-25,0,0,17373,0,0,0,0,0,0,0,0,11983,17373,0,0,12592,0,0,87,0,0,0,0,0
32,2011-03-14,0,0,0,0,0,0,0,17373,0,0,0,11727,17373,0,0,12226,0,17373,0,0,0,0,0,0
33,2011-03-15,0,0,0,0,0,0,0,17373,0,0,0,12185,17373,0,0,12497,17373,17373,87,0,0,0,87,0
34,2011-03-17,0,0,0,0,0,0,0,17373,0,0,0,12269,17373,0,0,12521,0,17373,87,0,0,0,0,0
35,2011-03-18,0,0,0,0,0,0,0,17373,0,0,0,12544,17373,0,0,12857,0,0,0,17373,0,17373,0,0
36,2011-03-21,0,0,0,0,0,0,0,17373,0,0,0,11903,17373,0,0,12222,0,17373,87,0,0,17373,87,0
37,2011-03-22,0,0,0,0,0,0,0,17373,0,0,0,12239,17373,0,0,12453,0,17373,0,0,0,0,87,0
38,2011-03-24,0,0,0,0,0,0,0,17373,0,0,0,12472,17373,0,0,12623,0,0,0,0,0,17373,87,0
39,2011-03-25,0,0,0,0,0,0,0,17373,0,0,0,12406,17373,0,0,12795,0,0,0,17373,0,0,87,0
40,2011-03-28,0,0,0,0,0,0,0,17373,0,0,0,11621,17373,0,17373,12264,0,17373,0,0,0,17373,87,0
41,2011-03-29,0,0,0,0,0,0,0,17373,0,0,0,12170,17373,0,0,12640,0,17373,0,0,0,0,87,0
42,2011-03-31,0,0,0,0,0,0,0,17373,0,0,0,12300,17373,0,0,12650,17373,17373,0,0,0,0,87,0
43,2011-04-01,17373,0,0,0,0,0,0,0,0,0,0,12364,17373,0,0,12727,0,0,0,17373,0,17373,87,0
44,2011-04-04,17373,0,0,0,0,0,0,0,0,0,0,11747,17373,0,0,12233,0,17373,0,0,0,17373,0,0
45,2011-04-05,17373,0,0,0,0,0,0,0,0,0,0,12230,17373,0,0,12546,0,17373,0,0,0,0,87,0
46,2011-04-07,17373,0,0,0,0,0,0,0,0,0,0,12050,17373,0,0,12419,0,17373,87,0,0,0,87,0
47,2011-04-08,17373,0,0,0,0,0,0,0,0,0,0,12259,17373,0,0,12706,0,0,0,17373,0,0,87,0
