date,annee_scolaire,reel,effectif,porc,viande,poisson,bio,noel,an_chinois,plat_prepare,maison,laitage
2011-01-03,2010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-2011,11129.0,17373.0,0,1,0,0,0,0,1,0,0
2011-01-04,2010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-2011,11808.0,17373.0,0,1,0,0,0,0,1,0,1
2011-01-06,2010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-2011,11741.0,17373.0,1,1,0,1,0,0,0,0,0
2011-01-07,2010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-2011,12322.0,17373.0,0,0,1,0,0,0,0,0,1
2011-01-10,2010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-2011,11302.0,17373.0,0,0,1,0,0,0,1,0,1
2011-01-11,2010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-2011,11909.0,17373.0,0,1,0,1,0,0,1,0,0
2011-01-13,2010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-2011,12007.0,17373.0,0,1,0,1,0,0,1,0,0
2011-01-14,2010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-2011,11991.0,17373.0,0,0,1,0,0,0,1,0,1
2011-01-17,2010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-2011,11508.0,17373.0,0,1,0,0,0,0,1,0,1
2011-01-18,2010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-20112010-2011,12022.0,17373.0,1,1,0,0,0,0,0,0,1
